iter	Logloss
0	0.683569195
1	0.6744951341
2	0.6654891024
3	0.6561085574
4	0.6466748268
5	0.6379933432
6	0.6304566839
7	0.6237479994
8	0.615955727
9	0.6089128335
10	0.6020747324
11	0.5973795036
12	0.5907663218
13	0.5848858638
14	0.5796875604
15	0.5753347927
16	0.5702148337
17	0.5656225043
18	0.5625820176
19	0.5591203732
20	0.555775063
21	0.5524710131
22	0.5498225502
23	0.5473168885
24	0.5429587871
25	0.5399814993
26	0.5370819016
27	0.5346440176
28	0.5328467763
29	0.5295436825
30	0.5276558193
31	0.5252531575
32	0.5225131168
33	0.5195372881
34	0.5165010281
35	0.5137665223
36	0.5115701624
37	0.5086716717
38	0.5062919548
39	0.5041336852
40	0.5017340425
41	0.4994658292
42	0.49748352
43	0.4961238902
44	0.4945410015
45	0.492398733
46	0.4900818626
47	0.488608012
48	0.4876083034
49	0.4863805055
50	0.4843861202
51	0.4833946134
52	0.4822153216
53	0.4808098022
54	0.4789221906
55	0.4771695809
56	0.4756986991
57	0.4745423521
58	0.4733185292
59	0.4721620313
60	0.4712039856
61	0.4699414183
62	0.4690042041
63	0.4678078547
64	0.4667834402
65	0.4658023995
66	0.4652135838
67	0.4645494428
68	0.4638723199
69	0.4633765916
70	0.4624043061
71	0.4616241832
72	0.4609920442
73	0.4599575159
74	0.4590827961
75	0.4582846595
76	0.4575198332
77	0.4568346091
78	0.4560655561
79	0.455415353
80	0.4548540611
81	0.4542223246
82	0.4537301185
83	0.4529870797
84	0.4523722498
85	0.4516837049
86	0.4509534969
87	0.4503796256
88	0.4497279633
89	0.4492113533
90	0.4485158645
91	0.4478722531
92	0.4469907907
93	0.4463477327
94	0.4457568037
95	0.4451564654
96	0.4446382955
97	0.443918604
98	0.4434846656
99	0.4429677537
100	0.4424082228
101	0.4418451194
102	0.4413358558
103	0.4407944895
104	0.4402809489
105	0.4398196378
106	0.4392135633
107	0.4387193446
108	0.438115182
109	0.4378242964
110	0.4373906097
111	0.4368929694
112	0.4364227018
113	0.4358909462
114	0.4354383904
115	0.4350820417
116	0.4346927854
117	0.4341844777
118	0.4338043792
119	0.43331801
120	0.4330809138
121	0.432408571
122	0.4319202898
123	0.4316004213
124	0.431230034
125	0.4308330791
126	0.4305144182
127	0.4302146264
128	0.429718395
129	0.4292081753
130	0.4288798031
131	0.428362388
132	0.4278570994
133	0.4275427659
134	0.4272011099
135	0.4268036518
136	0.4264367364
137	0.4259968103
138	0.4257032075
139	0.4252331412
140	0.4248980768
141	0.4243676295
142	0.4240952104
143	0.4238323517
144	0.4231386743
145	0.4227624502
146	0.4223890941
147	0.4220794149
148	0.4217619868
149	0.4215386022
150	0.4210991541
151	0.4208175772
152	0.4204533287
153	0.4201834255
154	0.4198648652
155	0.4195967232
156	0.4192253798
157	0.418930972
158	0.4186461748
159	0.4182281872
160	0.4179519943
161	0.4176813866
162	0.4174216979
163	0.4168799794
164	0.4166054973
165	0.4162370473
166	0.4158427591
167	0.4156684844
168	0.4151978394
169	0.4148451891
170	0.414536642
171	0.4142138803
172	0.4139338884
173	0.4137017234
174	0.4132144233
175	0.412955917
176	0.4127046565
177	0.4124444897
178	0.412186864
179	0.411950271
180	0.4115553791
181	0.4112956903
182	0.4110383162
183	0.4107400339
184	0.4105014031
185	0.41023628
186	0.4099858497
187	0.4097518984
188	0.409377536
189	0.4089445537
190	0.4086518315
191	0.4083854002
192	0.4081132076
193	0.4078096923
194	0.4075519156
195	0.4074248387
196	0.4072257574
197	0.4069243051
198	0.4066910583
199	0.4063224572
200	0.4061494153
201	0.4058058221
202	0.4056033947
203	0.4053751544
204	0.405131366
205	0.404893188
206	0.4044618662
207	0.4040422683
208	0.4038977061
209	0.4036262682
210	0.403402154
211	0.4032103939
212	0.4029198856
213	0.4027518
214	0.4025051686
215	0.4022934325
216	0.4020116543
217	0.401822712
218	0.4014398963
219	0.400960798
220	0.4007412878
221	0.4004311809
222	0.4002108405
223	0.3999087592
224	0.399705401
225	0.3993032382
226	0.399084206
227	0.3986982454
228	0.3985233417
229	0.39834084
230	0.3981200719
231	0.3979426523
232	0.3976455273
233	0.3974225704
234	0.3971940534
235	0.3970595798
236	0.3968542591
237	0.3964798967
238	0.3962406369
239	0.3961296113
240	0.3959174726
241	0.3955391603
242	0.3952288521
243	0.3949704717
244	0.3947617043
245	0.3944416093
246	0.3942358861
247	0.3940755745
248	0.3938117346
249	0.3935917212
250	0.3934744814
251	0.393251776
252	0.3929824766
253	0.3927859364
254	0.392586201
255	0.3924665207
256	0.3921865037
257	0.3919952468
258	0.3917583771
259	0.3914240926
260	0.3912437294
261	0.3910944122
262	0.3909345031
263	0.3906892052
264	0.3904260697
265	0.3901938795
266	0.3900215923
267	0.3898759985
268	0.3896451165
269	0.3893084923
270	0.3891287581
271	0.388985328
272	0.3888276077
273	0.3887249851
274	0.3884843667
275	0.3882564032
276	0.3879424219
277	0.3877854815
278	0.3875183961
279	0.3870005785
280	0.3868379271
281	0.386655677
282	0.3864780561
283	0.3863573695
284	0.3861188645
285	0.3858866994
286	0.3856891277
287	0.3853968583
288	0.3851907326
289	0.3849328804
290	0.3847650212
291	0.3845772362
292	0.3843474864
293	0.3840299073
294	0.3838521607
295	0.3836997489
296	0.3835164422
297	0.3833552751
298	0.3830999389
299	0.382971126
300	0.3827713403
301	0.3825773411
302	0.3824112429
303	0.3821586489
304	0.3820074448
305	0.3818694238
306	0.3816401017
307	0.3813693683
308	0.3811973075
309	0.3810201395
310	0.3808884837
311	0.3807593941
312	0.3806755148
313	0.3804464694
314	0.3803143356
315	0.3800104177
316	0.3798497539
317	0.3796852659
318	0.3794724983
319	0.3792200804
320	0.379055995
321	0.3788445356
322	0.3786170249
323	0.3784058674
324	0.3782918227
325	0.3780769417
326	0.3778513934
327	0.3777303043
328	0.3775149453
329	0.3773118386
330	0.3770568546
331	0.3767966878
332	0.3766803789
333	0.3765300804
334	0.3763663724
335	0.3761955947
336	0.3759846888
337	0.3757999983
338	0.3756617761
339	0.3754806833
340	0.3752412474
341	0.3750571607
342	0.3748755144
343	0.3747320592
344	0.3745681247
345	0.3743797862
346	0.3742753773
347	0.3741495835
348	0.3739633332
349	0.3737651828
350	0.3735800646
351	0.3733935879
352	0.3732290244
353	0.3730098916
354	0.3727913626
355	0.3725992
356	0.3723854008
357	0.372192886
358	0.3719812505
359	0.3718285368
360	0.3716503624
361	0.3715079639
362	0.3713954287
363	0.3712279468
364	0.3710284882
365	0.3708057828
366	0.3706972982
367	0.3705593527
368	0.3703610262
369	0.3702487678
370	0.3700393463
371	0.3699044953
372	0.369758021
373	0.3696113958
374	0.3695262082
375	0.3693377187
376	0.3690997672
377	0.368970904
378	0.368834946
379	0.3686626588
380	0.3684644833
381	0.3683433942
382	0.3681447406
383	0.3680199028
384	0.3679231674
385	0.3677121105
386	0.3675601013
387	0.3673513087
388	0.3671723796
389	0.366981022
390	0.3668143201
391	0.3666456809
392	0.3664592545
393	0.3663110191
394	0.3660773948
395	0.3658467393
396	0.3656583505
397	0.3655447586
398	0.3652374947
399	0.365041684
400	0.3648848946
401	0.3647293883
402	0.3646180608
403	0.364434578
404	0.3642736374
405	0.3641339308
406	0.3639750783
407	0.3637849787
408	0.3636336991
409	0.3634632485
410	0.3633266364
411	0.3631881626
412	0.3630806592
413	0.3629199702
414	0.3628016234
415	0.3626281537
416	0.3624365194
417	0.3623163108
418	0.3621791453
419	0.362045351
420	0.3618848381
421	0.3617119722
422	0.361562504
423	0.3613271438
424	0.3612256534
425	0.3609946456
426	0.3608049234
427	0.3606375673
428	0.3605565561
429	0.3604172017
430	0.360246097
431	0.3601596515
432	0.359936292
433	0.3597551489
434	0.3595652002
435	0.359376107
436	0.359116544
437	0.3589619938
438	0.3587518426
439	0.3585041043
440	0.3583582338
441	0.3582098474
442	0.3580742417
443	0.3577837586
444	0.3575075657
445	0.3573280077
446	0.357246292
447	0.3570249704
448	0.3568095862
449	0.3566581053
450	0.3563430673
451	0.3561776736
452	0.3560591507
453	0.355872045
454	0.3555975377
455	0.3554667876
456	0.355331987
457	0.3551022372
458	0.3549425293
459	0.3547983193
460	0.3546913191
461	0.3544815957
462	0.3543650854
463	0.3542744384
464	0.3541055476
465	0.3539475003
466	0.3537507085
467	0.3535635776
468	0.3534828683
469	0.3532741512
470	0.353138621
471	0.3529121166
472	0.3527908011
473	0.3526415845
474	0.3525015759
475	0.3522857138
476	0.3521217793
477	0.3519052127
478	0.3516204406
479	0.3513882504
480	0.3512396376
