iter	Passed	Remaining
442	1250	1572
443	1253	1569
444	1256	1567
445	1259	1564
446	1262	1561
447	1264	1558
448	1267	1555
449	1270	1552
450	1272	1549
451	1275	1546
452	1278	1543
453	1280	1540
454	1283	1537
455	1286	1534
456	1289	1532
457	1292	1529
458	1295	1526
459	1297	1523
460	1300	1520
461	1303	1517
462	1306	1514
463	1308	1512
464	1311	1509
465	1314	1506
466	1317	1503
467	1319	1500
468	1322	1497
469	1325	1494
470	1328	1491
471	1330	1488
472	1333	1485
473	1336	1483
474	1339	1480
475	1341	1477
476	1344	1474
477	1347	1471
478	1350	1468
479	1353	1465
480	1355	1462
481	1358	1459
482	1361	1457
483	1363	1454
484	1366	1451
485	1369	1448
486	1372	1445
487	1374	1442
488	1377	1439
489	1380	1436
490	1383	1434
491	1386	1431
492	1388	1428
493	1391	1425
494	1394	1422
495	1397	1419
496	1399	1416
497	1402	1414
498	1405	1411
499	1408	1408
500	1411	1405
501	1414	1402
502	1416	1399
503	1419	1396
504	1421	1393
505	1424	1390
506	1427	1388
507	1430	1385
508	1432	1382
509	1435	1379
510	1438	1376
511	1440	1373
512	1443	1370
513	1446	1367
514	1449	1364
515	1451	1361
516	1454	1358
517	1457	1356
518	1460	1353
519	1463	1350
520	1465	1347
521	1468	1344
522	1471	1341
523	1474	1339
524	1476	1336
525	1479	1333
526	1482	1330
527	1484	1327
528	1487	1324
529	1490	1321
530	1493	1319
531	1496	1316
532	1499	1313
533	1501	1310
534	1504	1307
535	1507	1304
536	1510	1302
537	1512	1299
538	1515	1296
539	1518	1293
540	1521	1290
541	1524	1287
542	1526	1284
543	1529	1281
544	1531	1278
545	1534	1276
546	1537	1273
547	1540	1270
548	1543	1267
549	1545	1264
550	1548	1261
551	1551	1259
552	1554	1256
553	1557	1253
554	1559	1250
555	1562	1247
556	1565	1244
557	1567	1241
558	1570	1239
559	1573	1236
560	1576	1233
561	1578	1230
562	1581	1227
563	1584	1224
564	1587	1222
565	1590	1219
566	1593	1216
567	1595	1213
568	1598	1210
569	1601	1208
570	1604	1205
571	1606	1202
572	1609	1199
573	1612	1196
574	1615	1193
575	1617	1191
576	1620	1187
577	1623	1185
578	1625	1182
579	1628	1179
580	1631	1176
581	1634	1174
582	1637	1171
583	1640	1168
584	1642	1165
585	1645	1162
586	1648	1159
587	1651	1156
588	1653	1154
589	1656	1151
590	1659	1148
591	1662	1145
592	1664	1142
593	1667	1139
594	1670	1136
595	1673	1134
596	1675	1131
597	1678	1128
598	1681	1125
599	1684	1122
600	1686	1119
601	1689	1117
602	1692	1114
603	1695	1111
604	1697	1108
605	1700	1105
606	1703	1102
607	1706	1099
608	1708	1097
609	1711	1094
610	1714	1091
611	1716	1088
612	1719	1085
613	1722	1082
614	1725	1079
615	1727	1077
616	1730	1074
617	1733	1071
618	1735	1068
619	1738	1065
620	1741	1062
621	1744	1059
622	1746	1056
623	1749	1054
624	1752	1051
625	1754	1048
626	1757	1045
627	1760	1042
628	1762	1039
629	1765	1036
630	1768	1033
631	1770	1031
632	1773	1028
633	1776	1025
634	1779	1022
635	1781	1019
636	1784	1017
637	1787	1014
638	1790	1011
639	1793	1008
640	1795	1005
641	1798	1002
642	1801	1000
643	1803	997
644	1806	994
645	1809	991
646	1812	988
647	1815	986
648	1817	983
649	1820	980
650	1823	977
651	1826	974
652	1828	971
653	1831	969
654	1834	966
655	1836	963
656	1839	960
657	1842	957
658	1845	954
659	1847	951
660	1850	949
661	1853	946
662	1856	943
663	1858	940
664	1861	937
665	1864	934
666	1866	932
667	1869	929
668	1872	926
669	1874	923
670	1877	920
671	1880	917
672	1882	914
673	1885	912
674	1888	909
675	1891	906
676	1894	903
677	1896	900
678	1899	898
679	1902	895
680	1905	892
681	1908	889
682	1910	886
683	1913	884
684	1916	881
685	1918	878
686	1921	875
687	1924	872
688	1927	869
689	1929	867
690	1932	864
691	1935	861
692	1938	858
693	1940	855
694	1943	853
695	1946	850
696	1949	847
697	1951	844
698	1954	841
699	1957	838
700	1959	835
701	1962	833
702	1965	830
703	1968	827
704	1971	824
705	1974	822
706	1977	819
707	1980	816
708	1983	814
709	1986	811
710	1989	808
711	1992	805
712	1995	803
713	1997	800
714	2000	797
715	2003	794
716	2006	791
717	2008	788
718	2011	786
719	2014	783
720	2016	780
721	2019	777
722	2022	774
723	2025	772
724	2027	769
725	2030	766
726	2033	763
727	2035	760
728	2038	757
729	2041	755
730	2044	752
731	2046	749
732	2049	746
733	2052	743
734	2055	740
735	2058	738
736	2060	735
737	2063	732
738	2066	729
739	2069	727
740	2071	724
741	2074	721
742	2077	718
743	2080	715
744	2082	712
745	2085	710
746	2089	707
747	2092	704
748	2095	702
749	2098	699
750	2101	696
751	2104	693
752	2107	691
753	2109	688
754	2112	685
755	2115	682
756	2118	679
757	2121	677
758	2123	674
759	2126	671
760	2129	668
761	2132	665
762	2134	663
763	2137	660
764	2140	657
765	2143	654
766	2145	651
767	2148	649
768	2151	646
769	2154	643
770	2156	640
771	2159	637
772	2162	634
773	2164	632
774	2167	629
775	2170	626
776	2173	623
777	2175	620
778	2178	618
779	2181	615
780	2184	612
781	2187	609
782	2190	607
783	2193	604
784	2196	601
785	2199	598
786	2202	596
787	2205	593
788	2208	590
789	2211	587
790	2214	584
791	2216	582
792	2219	579
793	2222	576
794	2225	573
795	2228	571
796	2230	568
797	2233	565
798	2236	562
799	2238	559
800	2241	556
801	2244	554
802	2247	551
803	2249	548
804	2252	545
805	2255	542
806	2258	540
807	2260	537
808	2263	534
809	2266	531
810	2269	528
811	2272	526
812	2274	523
813	2277	520
814	2280	517
815	2283	514
816	2286	512
817	2289	509
818	2292	506
819	2295	503
820	2298	501
821	2301	498
822	2304	495
823	2307	492
824	2310	490
825	2312	487
826	2316	484
827	2319	481
828	2321	478
829	2324	476
830	2327	473
831	2329	470
832	2332	467
833	2335	464
834	2338	462
835	2340	459
836	2343	456
837	2345	453
838	2348	450
839	2351	447
840	2354	445
841	2356	442
842	2359	439
843	2362	436
844	2365	433
845	2368	431
846	2370	428
847	2373	425
848	2376	422
849	2379	419
850	2382	417
851	2385	414
852	2388	411
853	2391	408
854	2393	405
855	2396	403
856	2399	400
857	2402	397
858	2405	394
859	2408	392
860	2411	389
861	2414	386
862	2417	383
863	2420	380
864	2422	378
865	2425	375
866	2428	372
867	2431	369
868	2433	366
869	2436	364
870	2439	361
871	2442	358
872	2444	355
873	2447	352
874	2450	350
875	2453	347
876	2455	344
877	2458	341
878	2460	338
879	2463	335
880	2466	333
881	2469	330
882	2472	327
883	2475	324
884	2477	321
885	2480	319
886	2483	316
887	2486	313
888	2489	310
889	2492	308
890	2495	305
891	2498	302
892	2501	299
893	2504	296
894	2507	294
895	2509	291
896	2512	288
897	2515	285
898	2518	282
899	2521	280
900	2523	277
901	2526	274
902	2529	271
903	2532	268
904	2534	266
905	2537	263
906	2540	260
907	2543	257
908	2545	254
909	2548	252
910	2551	249
911	2553	246
912	2556	243
913	2559	240
914	2562	238
915	2565	235
916	2567	232
917	2570	229
918	2573	226
919	2576	224
920	2579	221
921	2582	218
922	2584	215
923	2587	212
924	2590	210
925	2593	207
926	2596	204
927	2599	201
928	2603	198
929	2605	196
930	2608	193
931	2611	190
932	2614	187
